∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.8316,0.8316,0.0,0.8316,0.0
7200.0,3600.0,1.6632,0.8316,0.0,0.8316,0.0
10800.0,3600.0,2.4948,0.8316000000000001,0.0,0.8316000000000001,0.0
14400.0,3600.0,3.3263999999999996,0.8315999999999995,0.0,0.8315999999999995,0.0
18000.0,3600.0,4.1579999999999995,0.8315999999999999,0.0,0.8315999999999999,0.0
21600.0,3600.0,4.989599999999999,0.8315999999999999,0.0,0.8315999999999999,0.0
25200.0,3600.0,5.821200000000004,0.8316000000000043,0.0,0.8316000000000043,0.0
28800.0,3600.0,6.652799999999999,0.8315999999999955,0.0,0.8315999999999955,0.0
32400.0,3600.0,7.484399999999999,0.8315999999999999,0.0,0.8315999999999999,0.0
36000.0,3600.0,8.316000000000008,0.8316000000000088,0.0,0.8316000000000088,0.0
39600.0,3600.0,9.147599999999999,0.831599999999991,0.0,0.831599999999991,0.0
43200.0,3600.0,9.979199999999999,0.8315999999999999,0.0,0.8315999999999999,0.0
46800.0,3600.0,10.810799999999999,0.8315999999999999,0.0,0.8315999999999999,0.0
50400.0,3600.0,11.642399999999999,0.8315999999999999,0.0,0.8315999999999999,0.0
54000.0,3600.0,12.473999999999998,0.8315999999999999,0.0,0.8315999999999999,0.0
57600.0,3600.0,13.305599999999998,0.8315999999999999,0.0,0.8315999999999999,0.0
61200.0,3600.0,14.137199999999998,0.8315999999999999,0.0,0.8315999999999999,0.0
64800.0,3600.0,14.96880000000003,0.8316000000000319,0.0,0.8316000000000319,0.0
68400.0,3600.0,15.800399999999998,0.8315999999999679,0.0,0.8315999999999679,0.0
72000.0,3600.0,16.632000000000033,0.8316000000000354,0.0,0.8316000000000354,0.0
75600.0,3600.0,17.463600000000035,0.8316000000000017,0.0,0.8316000000000017,0.0
79200.0,3600.0,18.295200000000037,0.8316000000000017,0.0,0.8316000000000017,0.0
82800.0,3600.0,19.126799999999974,0.8315999999999377,0.0,0.8315999999999377,0.0
86400.0,3600.0,19.958399999999976,0.8316000000000017,0.0,0.8316000000000017,0.0
90000.0,3600.0,20.789999999999978,0.8316000000000017,0.0,0.8316000000000017,0.0
93600.0,3600.0,21.621600000000043,0.8316000000000656,0.0,0.8316000000000656,0.0
97200.0,3600.0,22.453199999999917,0.8315999999998738,0.0,0.8315999999998738,0.0
100800.0,3600.0,23.284800000000047,0.8316000000001296,0.0,0.8316000000001296,0.0
104400.0,3600.0,24.11640000000005,0.8316000000000017,0.0,0.8316000000000017,0.0
108000.0,3600.0,24.947999999999922,0.8315999999998738,0.0,0.8315999999998738,0.0
111600.0,3600.0,25.779600000000052,0.8316000000001296,0.0,0.8316000000001296,0.0
